id_survei,id_peserta,aspek,skor,komentar
S0001,P0025,Materi Pelatihan,3,
S0001,P0025,Kualitas Fasilitator,2,
S0001,P0025,Sarana dan Prasarana,3,
S0001,P0025,Konsumsi,4,
S0001,P0025,Ketepatan Waktu,3,
S0002,P0058,Materi Pelatihan,4,
S0002,P0058,Kualitas Fasilitator,4,
S0002,P0058,Konsumsi,4,
S0002,P0058,Ketepatan Waktu,4,
S0003,P0139,Materi Pelatihan,4,
S0003,P0139,Kualitas Fasilitator,4,
S0003,P0139,Sarana dan Prasarana,5,
S0003,P0139,Konsumsi,4,
S0003,P0139,Ketepatan Waktu,3,
S0004,P0053,Materi Pelatihan,4,
S0004,P0053,Kualitas Fasilitator,4,
S0004,P0053,Sarana dan Prasarana,4,
S0004,P0053,Konsumsi,4,
S0004,P0053,Ketepatan Waktu,3,
S0005,P0077,Materi Pelatihan,5,
S0005,P0077,Kualitas Fasilitator,4,
S0005,P0077,Sarana dan Prasarana,3,
S0005,P0077,Konsumsi,5,
S0005,P0077,Ketepatan Waktu,4,
S0006,P0011,Materi Pelatihan,3,
S0006,P0011,Kualitas Fasilitator,5,
S0006,P0011,Sarana dan Prasarana,4,
S0006,P0011,Konsumsi,4,
S0006,P0011,Ketepatan Waktu,3,
S0007,P0024,Materi Pelatihan,4,
S0007,P0024,Kualitas Fasilitator,3,
S0007,P0024,Sarana dan Prasarana,5,
S0007,P0024,Konsumsi,5,
S0007,P0024,Ketepatan Waktu,4,
S0008,P0089,Kualitas Fasilitator,4,
S0008,P0089,Sarana dan Prasarana,3,
S0008,P0089,Konsumsi,3,
S0008,P0089,Ketepatan Waktu,4,
S0009,P0128,Materi Pelatihan,4,
S0009,P0128,Kualitas Fasilitator,5,
S0009,P0128,Sarana dan Prasarana,5,
S0009,P0128,Konsumsi,4,
S0009,P0128,Ketepatan Waktu,5,
S0010,P0060,Materi Pelatihan,4,
S0010,P0060,Kualitas Fasilitator,4,
S0010,P0060,Sarana dan Prasarana,4,
S0010,P0060,Konsumsi,1,
S0010,P0060,Ketepatan Waktu,4,
S0011,P0145,Materi Pelatihan,3,
S0011,P0145,Kualitas Fasilitator,5,
S0011,P0145,Sarana dan Prasarana,5,
S0011,P0145,Konsumsi,5,
S0011,P0145,Ketepatan Waktu,5,
S0012,P0144,Materi Pelatihan,4,
S0012,P0144,Kualitas Fasilitator,5,
S0012,P0144,Sarana dan Prasarana,3,
S0012,P0144,Konsumsi,4,
S0012,P0144,Ketepatan Waktu,3,
S0013,P0001,Materi Pelatihan,4,
S0013,P0001,Kualitas Fasilitator,5,
S0013,P0001,Sarana dan Prasarana,4,
S0013,P0001,Konsumsi,5,
S0013,P0001,Ketepatan Waktu,5,
S0014,P0122,Materi Pelatihan,5,
S0014,P0122,Kualitas Fasilitator,4,
S0014,P0122,Sarana dan Prasarana,3,
S0014,P0122,Konsumsi,4,
S0014,P0122,Ketepatan Waktu,5,
S0015,P0042,Materi Pelatihan,4,
S0015,P0042,Kualitas Fasilitator,4,
S0015,P0042,Sarana dan Prasarana,5,
S0015,P0042,Konsumsi,4,
S0015,P0042,Ketepatan Waktu,3,
S0016,P0067,Materi Pelatihan,5,
S0016,P0067,Kualitas Fasilitator,4,
S0016,P0067,Sarana dan Prasarana,4,
S0016,P0067,Konsumsi,5,
S0016,P0067,Ketepatan Waktu,5,
S0017,P0050,Materi Pelatihan,5,
S0017,P0050,Kualitas Fasilitator,4,
S0017,P0050,Sarana dan Prasarana,4,
S0018,P0072,Materi Pelatihan,4,
S0018,P0072,Kualitas Fasilitator,4,
S0018,P0072,Sarana dan Prasarana,5,
S0018,P0072,Konsumsi,5,
S0018,P0072,Ketepatan Waktu,3,
S0019,P0121,Materi Pelatihan,4,
S0019,P0121,Kualitas Fasilitator,5,
S0019,P0121,Sarana dan Prasarana,4,
S0019,P0121,Konsumsi,5,
S0019,P0121,Ketepatan Waktu,5,
S0020,P0100,Materi Pelatihan,5,
S0020,P0100,Kualitas Fasilitator,4,
S0020,P0100,Sarana dan Prasarana,4,
S0020,P0100,Konsumsi,5,
S0020,P0100,Ketepatan Waktu,4,
S0021,P0022,Materi Pelatihan,4,
S0021,P0022,Kualitas Fasilitator,4,
S0021,P0022,Sarana dan Prasarana,5,
S0021,P0022,Konsumsi,5,
S0021,P0022,Ketepatan Waktu,5,
S0022,P0090,Materi Pelatihan,4,
S0022,P0090,Sarana dan Prasarana,5,
S0022,P0090,Konsumsi,5,
S0022,P0090,Ketepatan Waktu,5,
S0023,P0050,Materi Pelatihan,4,
S0023,P0050,Kualitas Fasilitator,4,
S0023,P0050,Sarana dan Prasarana,4,
S0023,P0050,Konsumsi,4,
S0023,P0050,Ketepatan Waktu,5,
S0024,P0091,Materi Pelatihan,5,
S0024,P0091,Kualitas Fasilitator,4,
S0024,P0091,Sarana dan Prasarana,5,
S0024,P0091,Konsumsi,4,
S0024,P0091,Ketepatan Waktu,5,
S0025,P0047,Materi Pelatihan,5,
S0025,P0047,Kualitas Fasilitator,3,
S0025,P0047,Sarana dan Prasarana,3,
S0025,P0047,Konsumsi,5,
S0025,P0047,Ketepatan Waktu,4,
S0026,P0028,Materi Pelatihan,3,
S0026,P0028,Kualitas Fasilitator,2,
S0026,P0028,Sarana dan Prasarana,4,
S0026,P0028,Ketepatan Waktu,3,
S0027,P0084,Materi Pelatihan,4,
S0027,P0084,Kualitas Fasilitator,5,
S0027,P0084,Sarana dan Prasarana,4,
S0027,P0084,Konsumsi,5,
S0027,P0084,Ketepatan Waktu,5,
S0028,P0067,Materi Pelatihan,5,
S0028,P0067,Kualitas Fasilitator,4,
S0028,P0067,Sarana dan Prasarana,4,
S0028,P0067,Konsumsi,5,
S0028,P0067,Ketepatan Waktu,4,
S0029,P0078,Materi Pelatihan,5,
S0029,P0078,Kualitas Fasilitator,5,
S0029,P0078,Sarana dan Prasarana,3,
S0029,P0078,Konsumsi,5,
S0029,P0078,Ketepatan Waktu,5,
S0030,P0102,Materi Pelatihan,4,
S0030,P0102,Kualitas Fasilitator,4,
S0030,P0102,Sarana dan Prasarana,5,
S0030,P0102,Konsumsi,4,
S0030,P0102,Ketepatan Waktu,3,
S0031,P0094,Kualitas Fasilitator,4,
S0031,P0094,Konsumsi,5,
S0031,P0094,Ketepatan Waktu,3,
S0032,P0059,Materi Pelatihan,3,
S0032,P0059,Kualitas Fasilitator,2,
S0032,P0059,Sarana dan Prasarana,4,
S0032,P0059,Konsumsi,4,
S0032,P0059,Ketepatan Waktu,5,
S0033,P0067,Materi Pelatihan,4,
S0033,P0067,Kualitas Fasilitator,4,
S0033,P0067,Sarana dan Prasarana,4,
S0033,P0067,Konsumsi,4,
S0033,P0067,Ketepatan Waktu,4,
S0034,P0005,Materi Pelatihan,5,
S0034,P0005,Kualitas Fasilitator,5,
S0034,P0005,Sarana dan Prasarana,5,
S0034,P0005,Konsumsi,4,
S0034,P0005,Ketepatan Waktu,5,
S0035,P0069,Materi Pelatihan,2,
S0035,P0069,Kualitas Fasilitator,5,
S0035,P0069,Sarana dan Prasarana,4,
S0035,P0069,Konsumsi,5,
S0035,P0069,Ketepatan Waktu,4,
S0036,P0115,Materi Pelatihan,4,
S0036,P0115,Kualitas Fasilitator,1,
S0036,P0115,Sarana dan Prasarana,1,
S0036,P0115,Konsumsi,4,
S0036,P0115,Ketepatan Waktu,4,
S0037,P0115,Materi Pelatihan,5,
S0037,P0115,Kualitas Fasilitator,4,
S0037,P0115,Sarana dan Prasarana,4,
S0037,P0115,Konsumsi,5,
S0037,P0115,Ketepatan Waktu,4,
S0038,P0036,Materi Pelatihan,4,
S0038,P0036,Sarana dan Prasarana,3,
S0038,P0036,Konsumsi,4,
S0038,P0036,Ketepatan Waktu,3,
S0039,P0098,Materi Pelatihan,5,
S0039,P0098,Kualitas Fasilitator,4,
S0039,P0098,Sarana dan Prasarana,4,
S0039,P0098,Konsumsi,4,
S0039,P0098,Ketepatan Waktu,5,
S0040,P0141,Materi Pelatihan,2,
S0040,P0141,Kualitas Fasilitator,4,
S0040,P0141,Sarana dan Prasarana,3,
S0040,P0141,Konsumsi,5,
S0040,P0141,Ketepatan Waktu,5,
S0041,P0024,Materi Pelatihan,3,
S0041,P0024,Kualitas Fasilitator,2,
S0041,P0024,Konsumsi,4,
S0041,P0024,Ketepatan Waktu,4,
S0042,P0040,Materi Pelatihan,5,
S0042,P0040,Kualitas Fasilitator,4,
S0042,P0040,Sarana dan Prasarana,5,
S0042,P0040,Konsumsi,5,
S0042,P0040,Ketepatan Waktu,2,
S0043,P0132,Materi Pelatihan,5,
S0043,P0132,Kualitas Fasilitator,3,
S0043,P0132,Sarana dan Prasarana,4,
S0043,P0132,Konsumsi,5,
S0043,P0132,Ketepatan Waktu,4,
S0044,P0059,Materi Pelatihan,2,
S0044,P0059,Kualitas Fasilitator,4,
S0044,P0059,Sarana dan Prasarana,3,
S0044,P0059,Ketepatan Waktu,4,
S0045,P0068,Kualitas Fasilitator,5,
S0045,P0068,Sarana dan Prasarana,4,
S0045,P0068,Konsumsi,3,
S0045,P0068,Ketepatan Waktu,4,
S0046,P0020,Materi Pelatihan,4,
S0046,P0020,Kualitas Fasilitator,4,
S0046,P0020,Sarana dan Prasarana,4,
S0046,P0020,Konsumsi,3,
S0046,P0020,Ketepatan Waktu,4,
S0047,P0012,Materi Pelatihan,5,
S0047,P0012,Kualitas Fasilitator,3,
S0047,P0012,Sarana dan Prasarana,5,
S0047,P0012,Konsumsi,4,
S0048,P0016,Materi Pelatihan,5,
S0048,P0016,Kualitas Fasilitator,4,
S0048,P0016,Sarana dan Prasarana,5,
S0048,P0016,Konsumsi,4,
S0048,P0016,Ketepatan Waktu,5,
S0049,P0141,Materi Pelatihan,5,
S0049,P0141,Kualitas Fasilitator,1,
S0049,P0141,Sarana dan Prasarana,5,
S0049,P0141,Konsumsi,4,
S0049,P0141,Ketepatan Waktu,4,
S0050,P0054,Materi Pelatihan,3,
S0050,P0054,Kualitas Fasilitator,4,
S0050,P0054,Sarana dan Prasarana,5,
S0050,P0054,Konsumsi,4,
S0050,P0054,Ketepatan Waktu,4,
S0051,P0128,Materi Pelatihan,4,
S0051,P0128,Konsumsi,4,
S0051,P0128,Ketepatan Waktu,3,
S0052,P0089,Materi Pelatihan,3,
S0052,P0089,Kualitas Fasilitator,4,
S0052,P0089,Sarana dan Prasarana,4,
S0052,P0089,Konsumsi,4,
S0053,P0075,Materi Pelatihan,3,
S0053,P0075,Kualitas Fasilitator,5,
S0053,P0075,Sarana dan Prasarana,5,
S0053,P0075,Konsumsi,5,
S0053,P0075,Ketepatan Waktu,3,
S0054,P0074,Materi Pelatihan,3,
S0054,P0074,Kualitas Fasilitator,4,
S0054,P0074,Sarana dan Prasarana,5,
S0054,P0074,Konsumsi,4,
S0055,P0103,Materi Pelatihan,5,
S0055,P0103,Kualitas Fasilitator,5,
S0055,P0103,Konsumsi,4,
S0055,P0103,Ketepatan Waktu,5,
S0056,P0074,Materi Pelatihan,5,
S0056,P0074,Kualitas Fasilitator,4,
S0056,P0074,Sarana dan Prasarana,4,
S0056,P0074,Konsumsi,5,
S0056,P0074,Ketepatan Waktu,4,
S0057,P0062,Materi Pelatihan,4,
S0057,P0062,Kualitas Fasilitator,4,
S0057,P0062,Sarana dan Prasarana,4,
S0057,P0062,Konsumsi,4,
S0057,P0062,Ketepatan Waktu,5,
S0058,P0116,Materi Pelatihan,4,
S0058,P0116,Kualitas Fasilitator,4,
S0058,P0116,Sarana dan Prasarana,4,
S0058,P0116,Konsumsi,5,
